847 9215
204 630 7086
290 802 18315
800 520 17471
797 136 25035
82 217 28014
676 671 13922
248 258 9195
638 273 7728
762 63 26530
745 658 17100
41 629 14946
193 340 18597
177 566 9544
425 9 15419
628 835 9770
432 770 29930
756 122 21058
757 652 25870
727 130 11714
613 624 602
621 182 20501
438 478 25278
387 58 31488
317 754 10550
740 699 24288
585 63 15177
536 485 28845
171 429 17202
732 216 1690
128 364 3038
122 120 30302
580 456 6981
525 69 15503
86 477 25802
481 163 22165
735 433 20652
583 468 284
243 518 30371
244 138 2839
830 117 6463
118 332 29097
565 509 31922
642 762 5007
162 461 28408
285 331 2791
72 379 4261
7 337 12900
446 821 29888
414 575 5963
370 545 21364
156 432 11222
478 325 7804
449 308 1482
374 434 6035
312 417 25439
820 526 26711
362 130 9430
166 630 30809
301 616 29512
532 788 10577
288 669 32152
626 233 2736
127 335 6794
756 808 19720
503 456 19310
477 274 4862
495 299 7398
22 634 197
134 784 19367
455 521 27730
178 39 28999
500 77 8137
491 238 24956
435 133 3282
572 682 23126
85 636 27353
425 251 19026
314 451 21348
203 21 17759
681 623 22279
345 584 24110
446 592 2715
429 420 2915
209 506 32706
398 760 6264
95 224 19683
36 825 28797
758 75 2080
708 215 25844
393 409 13808
375 542 32121
510 310 30570
821 537 27901
108 569 3427
394 629 4018
232 762 23784
273 605 24835
808 688 22206
398 477 15147
695 314 18158
817 62 31302
214 659 29321
192 766 23281
148 575 22822
211 305 12500
58 16 15557
340 736 27567
305 378 3615
430 517 25024
258 381 21649
434 811 3218
424 410 28694
157 171 24995
210 747 31002
209 352 16991
166 103 21764
660 759 14168
618 729 10183
462 11 22737
398 43 27111
455 703 31474
557 4 26533
665 767 32312
495 753 6484
36 522 5377
87 183 28175
615 138 30030
263 483 6461
81 530 23046
238 74 2210
557 610 31068
323 311 11262
619 283 15923
428 491 30816
524 133 12429
71 784 24750
842 562 7527
60 828 10786
680 475 18578
356 515 24227
643 434 21352
170 491 30787
125 532 6518
621 596 2118
523 722 8290
78 626 24969
351 595 27330
745 479 281
455 333 5536
734 503 24918
106 695 14036
599 670 25349
454 163 1673
81 156 21776
725 419 2172
595 324 12008
595 592 14812
168 325 6861
420 828 20184
688 631 17502
707 815 22319
757 367 21826
565 31 17264
436 237 27855
838 422 19621
313 4 237
506 158 16020
844 316 17848
248 182 10478
830 629 18049
231 30 5621
393 335 5694
696 532 9604
370 684 13970
808 742 24962
637 78 23535
3 323 23843
807 246 23169
138 612 17029
423 607 6874
621 422 27273
135 173 18089
228 13 2301
274 414 15570
27 111 27503
581 421 6601
817 635 21309
111 818 3070
796 98 9159
801 714 5556
492 140 965
348 349 5285
504 121 15670
407 303 15671
296 134 10592
58 437 31287
423 576 24276
564 832 9034
468 398 13694
830 707 2974
56 381 6434
237 418 22395
82 433 7379
290 438 8901
413 511 25163
646 761 7062
248 531 15919
115 203 7017
443 488 7839
56 715 20121
511 286 11168
202 510 27935
174 17 29004
519 633 14550
807 207 12741
625 448 13478
620 39 20830
682 756 9577
847 644 14709
74 264 14446
294 460 7928
795 705 29916
498 143 24464
270 69 13416
842 801 13523
432 184 5400
14 36 24355
529 295 30991
154 590 12792
498 801 2703
676 116 10690
151 230 10678
734 724 30649
413 9 30375
600 487 18978
543 781 9747
336 77 6133
784 475 18280
651 77 27893
140 223 27404
518 755 12172
326 419 31849
263 296 11274
11 97 30400
546 715 26911
780 30 11511
652 420 30628
640 697 31705
823 376 9228
410 780 15239
584 520 14873
177 760 28688
836 574 31657
121 662 25182
626 73 4527
483 665 16896
772 481 10943
92 239 1406
478 333 15538
683 562 16943
735 373 1865
594 179 30162
383 349 5081
633 459 2905
55 759 4717
126 202 4509
108 161 11994
837 625 30207
669 699 22714
94 222 28191
718 481 3915
164 676 25391
711 440 7843
754 264 30345
372 259 28092
134 592 27285
551 421 5436
127 751 11299
362 722 1297
484 413 14274
450 161 4915
398 830 29627
555 391 30756
100 159 8891
181 509 3600
495 533 7249
51 620 11674
395 118 20421
564 427 20400
97 833 2815
610 828 15877
773 660 25198
203 429 9215
802 244 14381
742 461 20538
463 601 4063
772 125 31476
496 27 27125
226 269 32756
314 546 7264
323 467 15058
422 400 22484
414 62 10922
503 636 4140
604 3 16029
822 394 9106
300 425 16045
577 565 12150
307 807 15577
678 741 21363
527 622 26757
335 190 442
376 427 4745
773 588 14750
353 697 14988
140 66 29768
142 82 11879
561 216 29901
427 539 10954
112 236 25614
758 34 6240
656 829 30261
95 737 787
558 528 6822
174 425 20818
806 213 14520
565 110 8030
113 43 2719
192 723 1800
78 662 5448
741 33 5736
430 424 22287
677 78 22645
280 89 24734
224 290 10377
102 413 29273
479 264 9776
298 664 15899
533 195 4310
218 163 24634
385 700 11056
579 174 21502
671 239 5239
698 746 26393
268 26 22984
261 720 19655
805 503 27721
636 647 15504
232 551 14564
73 302 20970
753 572 25783
813 731 31029
578 643 15749
570 125 27576
802 494 20436
98 576 24493
177 94 23674
73 581 29321
509 139 9661
123 42 17139
284 840 20576
571 37 32045
505 636 28461
404 77 6116
758 820 20443
771 281 30869
784 645 22113
464 284 32271
246 332 12310
142 435 21693
305 136 31278
567 5 19386
384 156 12152
836 764 29404
46 563 24416
714 490 26935
482 331 25767
467 704 16590
747 36 7252
534 208 1896
369 698 3521
585 170 11713
179 422 6872
86 697 32144
45 33 15321
678 770 25630
759 265 3138
25 783 23132
777 25 5807
347 363 29882
273 41 27598
196 339 29745
694 494 13492
366 240 24381
506 502 11068
338 322 1207
842 609 17213
721 701 9169
340 687 26026
612 648 7077
567 784 31493
491 737 18959
721 280 13486
50 327 29902
409 36 7400
278 735 2342
806 120 951
648 759 32108
745 799 29406
166 739 32076
831 685 32165
246 381 5291
130 111 4405
840 211 5737
334 350 28838
666 779 21368
455 732 21522
682 185 11265
495 800 17490
212 481 26507
138 29 21802
567 699 25186
21 131 24074
97 2 19890
66 269 21948
102 745 19727
797 333 3981
639 165 30560
337 229 22737
752 445 31339
465 847 27611
165 705 10101
304 12 27063
394 781 21673
839 713 7757
782 408 4686
120 736 19130
277 487 1010
544 796 8181
300 314 3343
632 657 2085
750 51 15832
774 505 26419
488 409 22576
76 503 11128
165 184 11771
722 641 28056
167 639 20805
464 594 2794
93 480 25593
86 672 10239
251 4 6162
582 188 28961
36 667 29338
386 267 19688
137 239 29390
650 526 6448
494 581 11323
497 299 1302
372 512 32182
164 792 15056
59 731 10362
604 151 25196
181 627 29141
179 309 8930
305 761 32547
690 724 14597
100 521 3858
798 123 5157
244 320 25691
392 322 13969
275 52 30074
250 19 27700
829 66 4618
156 87 21495
320 847 31182
694 693 18626
478 224 10893
469 227 32039
552 164 16719
54 531 10520
671 834 156
681 416 2878
623 203 12488
653 388 18381
600 623 28792
193 549 27872
159 208 31453
41 814 10440
539 395 13913
806 39 6354
21 144 22930
324 617 6003
160 716 28183
725 828 9942
354 815 16158
232 145 4416
803 268 10262
531 712 10955
249 616 2545
524 312 22625
804 115 16246
256 685 11780
449 730 2051
82 95 10947
418 389 23931
212 128 25320
270 711 21854
69 725 22859
624 736 22073
330 343 28362
357 534 25070
220 431 15187
550 614 19076
484 349 26122
733 334 10887
778 789 14951
186 820 15127
695 303 22124
16 356 28982
552 457 29244
471 443 30978
85 89 31671
106 53 204
689 311 8432
351 834 8024
48 841 31377
655 154 18344
136 776 25480
697 141 537
747 600 15769
600 739 21956
60 409 31398
43 498 15965
775 829 20678
656 477 2563
829 809 5002
452 761 22466
27 424 22271
585 380 31416
762 657 20811
31 277 3863
315 820 30202
194 561 25977
108 169 4693
481 491 24136
417 259 21593
552 441 12837
674 187 11813
156 35 17804
222 47 1538
424 146 21811
159 456 10052
500 9 21965
473 191 702
71 804 7484
528 811 3457
773 308 9303
269 774 788
590 192 14283
309 165 3186
353 299 5060
523 41 24423
33 610 31075
91 329 25132
329 37 7719
781 517 19790
265 719 13521
283 642 14913
200 588 3191
27 10 20185
336 689 22941
26 326 23058
372 450 15935
716 635 8573
350 459 11839
240 169 19557
160 382 10895
782 585 32014
186 199 25129
831 596 11511
14 791 17903
5 709 19682
114 769 12777
477 522 20393
838 594 12223
350 633 22536
303 717 1154
523 52 24803
214 528 28701
388 270 13492
168 396 20234
493 138 13344
533 704 16158
701 278 5354
99 340 3718
631 783 14778
3 410 10317
170 293 22638
521 215 29700
125 723 10231
573 477 18020
263 43 4075
465 743 7930
397 827 9043
278 374 4937
758 66 23905
497 416 478
596 294 29198
672 682 2122
378 549 24019
495 331 19718
744 789 1784
390 403 2716
746 693 2097
657 783 31681
487 449 28540
319 396 24594
357 449 11651
51 298 24501
724 592 28907
421 746 10265
581 198 1622
27 527 18042
328 268 24842
823 508 5372
326 83 31083
394 212 5495
775 58 1501
139 703 24916
502 402 1950
767 824 30717
90 285 2228
712 112 15824
501 779 2324
756 137 31649
218 613 18550
736 468 13094
375 421 10151
612 457 14046
695 297 5934
91 523 13401
47 656 17046
538 541 21994
507 402 11987
484 428 23852
584 309 10088
124 610 10712
490 198 26971
842 704 6373
319 423 19488
320 76 5614
214 539 2049
109 35 11590
368 254 30375
209 717 30536
815 733 5589
494 636 26056
366 815 32117
290 331 25261
815 522 12677
668 318 23322
24 81 3458
608 485 21681
296 836 19050
398 651 4825
157 6 8556
21 536 12299
547 765 7381
747 620 29584
77 288 5608
217 334 9784
830 58 31131
643 601 18674
842 568 1902
483 288 26192
494 647 9438
839 838 21589
454 737 25887
380 501 11815
529 233 22557
124 80 9586
394 95 25849
105 167 6567
612 81 13182
587 579 14171
699 574 17726
164 296 19564
597 535 10842
701 128 19843
576 131 31289
62 568 4788
455 537 28233
383 572 18980
340 374 1865
743 511 19970
772 508 20862
398 556 12253
494 340 32533
245 189 5309
844 310 31660
282 271 18824
768 304 27809
118 202 11229
243 321 17448
513 268 743
695 507 8589
481 740 16607
52 206 25402
477 519 12591
277 134 8016
172 222 8308
590 174 15865
804 568 25301
383 407 15543
767 632 4711
431 237 17509
684 819 17048
319 612 17310
73 550 1743
521 701 15813
134 815 22990
387 842 749
220 177 118
63 371 8002
584 719 15859
687 120 4308
71 19 26760
125 256 18628
259 358 30062
413 440 14666
134 557 14207
591 353 17421
1 231 8102
830 691 21698
457 782 8014
237 320 25107
713 241 11333
232 622 815
150 652 8907
446 521 21153
187 690 11722
492 420 1851
240 91 18018
79 94 4656
666 43 4948
360 698 15810
32 504 17911
121 559 18946
651 815 21933
271 472 28053
591 359 31771
630 826 32384
465 359 25493
109 8 27500
749 718 26226
841 669 10198
378 520 22864
237 281 20011
64 397 29540
451 64 29955
638 9 5402
634 263 27936
250 435 21681
150 188 22121
300 207 28426
526 571 32015
381 643 15724
135 107 18078
161 149 12357
528 755 19155
86 729 30409
145 509 13871
209 285 23458
329 687 32711
169 435 30478
783 356 10491
111 313 4344
706 457 6414
429 149 28139
462 555 32741
449 71 22523
640 454 21077
600 450 4337
749 157 14269
32 418 3419
428 620 29671
397 261 28756
614 440 18794
603 227 19999
149 502 20471
641 798 20453
595 261 5980
201 433 32062
311 386 31529
72 509 16457
279 845 5169
208 37 16254
672 232 3169
145 572 29822
819 170 3749
91 582 2449
184 234 28623
758 754 3984
163 348 20159
782 488 7277
615 320 6458
112 63 26263
743 10 28728
673 643 3051
711 526 8588
192 627 29428
124 506 9775
558 627 11171
291 793 7070
250 327 28875
239 84 21515
698 241 32261
388 16 11333
470 416 26051
604 419 10159
102 530 443
193 294 12700
222 40 3068
252 504 8420
43 730 31038
377 43 1427
747 86 23889
786 312 12802
206 447 2231
627 179 10168
323 659 15055
544 417 26080
3 284 17944
752 12 23108
603 471 27764
815 645 14078
83 738 6010
348 162 32360
588 461 29996
828 535 1008
430 318 31672
184 412 15320
34 269 30472
307 700 19725
754 164 6475
94 291 16280
460 274 9152
205 73 10073
11 91 12135
538 454 7686
105 134 30059
506 116 4271
579 783 17751
362 68 9256
210 678 11132
771 373 4402
755 253 13333
826 169 9271
654 186 18432
342 55 22004
114 772 26157
484 147 2411
428 47 2325
413 772 12519
580 824 27090
45 525 16136
553 168 6829
167 809 10756
757 160 12609
305 333 13992
206 469 31876
225 469 3514
749 279 7510
594 173 6602
385 75 22623
394 144 9370
800 467 11884
676 626 29339
323 8 17542
733 93 63
619 241 30585
351 247 22532
39 822 11907
502 424 2434
675 256 12136
618 481 26867
88 727 27164
660 751 15326
296 50 31929
100 842 8941
263 675 8333
736 591 14880
802 110 22359
81 51 24531
190 407 7178
658 717 10323
771 384 7353
412 32 1780
620 728 11124
784 411 30442
250 232 12859
797 545 15700
14 399 6745
369 762 2863
368 621 20926
375 649 8506
700 790 31025
84 814 28907
133 537 23677
240 530 23807
737 662 12759
557 301 342
795 170 20530
238 773 7445
616 296 9285
245 707 11073
297 572 14953
722 356 13653
456 197 18324
414 117 18561
724 110 17955
546 810 397
557 55 2866
740 59 11421
221 441 16302
168 513 19785
351 640 29796
739 770 22715
766 5 10946
6 697 20192
102 820 13311
517 565 200
395 129 18144
719 743 450
642 278 12386
548 15 19942
478 60 7655
755 558 27648
626 684 16311
555 400 2586
297 780 30967
654 289 6939
9 20 3690
712 464 8501
153 254 22410
64 486 25617
145 38 28136
233 227 8962
716 521 17616
396 122 12965
69 566 1948
551 844 12978
353 470 10058
629 189 29678
428 280 12326
501 417 3972
123 647 26281
609 687 26658
122 268 22237
144 526 8887
399 510 1000
407 339 26532
187 555 19847
338 640 16052
157 266 32679
670 728 26443
76 176 25687
288 89 31607
436 486 10954
243 250 18419
845 589 13998
679 745 21624
248 452 993
418 443 15245
719 537 24809
537 705 29507
603 18 21755
484 460 30373
483 575 23354
103 63 16325
663 138 18375
385 131 2341
228 75 9822
363 319 6674
319 465 15528
90 503 18971
511 19 10698
184 741 3048
481 165 18904
438 634 2582
229 19 24374
301 673 16621
449 147 23824
630 17 5636
57 363 21865
436 58 19245
768 417 21112
217 794 23627
780 553 5702
228 62 28627
135 818 11472
488 508 4138
406 219 15383
516 222 30757
562 394 23263
710 612 26448
36 104 16920
615 30 17093
796 51 13852
158 296 19901
646 130 23623
242 493 4390
156 54 9883
816 447 11224
735 630 1110
125 306 12451
468 272 6330
198 89 13154
311 823 10168
609 411 5440
621 519 20980
313 547 10548
834 124 14102
537 180 28963
376 764 9005
92 492 15605
364 55 16590
833 177 30052
754 43 3283
124 155 18328
90 327 3785
544 325 32285
504 791 25957
404 556 2285
343 327 6301
233 103 22897
96 814 27444
405 232 6350
772 759 9187
505 325 11738
232 50 2651
306 591 21898
773 261 11993
737 301 2999
828 771 4864
353 288 31632
5 410 314
663 370 30229
396 25 23500
343 525 21088
578 820 32604
586 715 28348
778 830 3239
176 813 6831
746 114 7051
844 302 20860
404 99 3512
676 276 10712
847 354 421
118 602 2745
45 35 22172
521 769 24203
314 489 22775
679 701 30005
399 121 6629
842 36 23215
470 336 14422
30 573 27420
123 37 2261
454 566 11930
596 647 10368
139 384 22100
155 113 11099
255 471 24949
686 239 20659
580 58 19462
512 813 2126
103 68 745
160 514 10638
639 542 32615
326 700 6632
227 82 12814
813 243 21032
472 230 6092
372 105 19076
697 492 17812
797 531 25455
747 273 13805
752 690 30107
14 422 306
504 753 24002
21 76 13432
672 400 10492
201 451 1103
843 255 3280
344 228 28633
422 717 8779
145 263 24046
230 64 32178
598 112 8519
68 677 17595
542 322 29151
271 804 25415
391 245 6417
210 546 783
518 116 6947
769 542 1232
480 128 25642
155 364 31182
587 23 14239
459 843 4811
254 552 10483
817 55 13765
596 247 2308
339 76 32276
426 507 18248
544 434 25282
176 831 5885
541 190 11576
576 548 1997
783 336 24206
609 154 32410
167 681 11292
675 700 26232
657 258 27691
714 69 23292
652 174 12751
593 840 17506
76 698 846
365 544 13122
16 629 6315
685 214 3274
559 13 30751
241 7 6578
165 242 9393
460 4 6505
636 277 30511
381 513 26667
405 810 13350
35 305 25085
733 801 4537
149 527 17866
666 691 13929
566 307 17167
314 171 22045
523 103 25050
33 668 1303
61 446 26631
563 532 12441
565 384 4097
845 210 31585
141 13 9331
814 262 4169
492 317 12712
577 467 26540
29 756 18579
752 704 3169
60 79 6315
823 80 13161
531 417 15655
455 708 1448
142 54 20289
395 603 23863
504 569 29308
140 736 55
282 559 28973
215 489 8502
454 195 28340
457 288 12659
5 617 549
267 365 27565
573 796 1877
233 443 32328
310 471 28034
697 8 29151
687 208 4628
603 45 26023
538 33 6953
155 512 3369
720 471 6371
207 817 4929
214 778 17849
184 302 13408
378 7 23864
801 303 5764
256 780 32245
112 225 12137
832 420 13983
786 670 31190
155 830 1907
685 571 24857
123 718 6274
543 56 13840
730 439 31365
153 836 17230
255 168 19254
614 782 15933
551 538 22375
826 27 29005
226 738 9290
292 694 8083
154 684 30378
90 325 23646
390 4 18955
274 744 29105
365 290 736
403 728 1702
58 251 20058
458 672 4890
613 85 26504
822 323 24644
135 153 11442
816 664 28146
329 363 24891
45 257 8878
61 88 30580
597 65 16631
575 492 6936
133 333 17996
263 23 16501
146 214 10434
480 352 1388
565 683 28245
828 556 2249
703 45 25918
23 623 20901
476 4 26345
811 482 17361
323 59 5991
454 96 16249
647 482 4463
492 511 14722
76 11 29511
508 577 10065
636 698 23345
575 766 21495
338 100 8750
455 316 28155
320 47 6709
409 610 9273
32 277 20784
532 440 19855
373 339 27741
838 588 10829
803 566 10212
158 830 8097
423 420 29890
783 835 11391
801 41 9050
663 232 5289
484 108 4940
302 95 10733
683 833 4445
194 752 1199
143 6 29333
410 36 13397
827 589 10218
490 88 17722
189 169 2047
753 9 15651
22 234 29935
824 132 12409
702 388 25108
70 633 8629
489 126 8775
189 351 18866
833 375 24861
346 462 753
95 40 18933
242 251 10987
71 267 13829
674 204 13321
756 195 22176
52 308 10199
391 531 17263
54 800 19596
460 238 11343
428 593 20995
35 630 15636
761 149 10672
215 178 5477
712 706 19008
656 612 8546
159 209 27358
205 119 12255
256 385 2899
366 696 26962
403 19 13694
494 526 22220
76 98 6619
37 324 2698
447 841 19460
390 178 17420
802 68 17793
525 311 10163
333 71 17467
683 476 26188
620 197 26470
100 260 2843
20 272 26832
836 412 10048
815 493 18889
281 592 18317
699 143 4641
835 422 7714
118 833 9463
416 74 7023
391 281 583
536 251 27243
436 556 23928
343 754 29214
288 78 4192
34 727 13009
307 533 28534
265 364 8070
198 85 12065
44 228 1152
194 312 13168
422 751 12804
78 697 6812
243 692 3740
187 464 26656
309 91 30335
827 718 14670
552 786 30197
475 549 11689
380 842 2756
388 565 31852
289 485 15628
759 815 24068
578 776 6690
587 471 19309
601 598 31814
723 223 28332
80 302 8262
608 815 18138
69 411 26222
326 758 18311
426 683 20056
843 368 28245
542 394 21873
694 363 15128
151 150 28245
197 38 30184
287 335 23380
801 745 3042
3 742 24751
553 497 22159
347 523 4984
433 380 11039
762 152 4130
409 745 26119
246 2 12306
246 287 7329
677 523 30680
60 655 471
668 424 32740
462 476 11271
738 640 6080
306 324 6559
798 195 26688
122 500 24356
612 337 29483
745 635 9376
742 206 3903
576 482 20908
712 398 30120
587 28 20108
167 498 12861
823 656 26144
315 470 23072
708 642 26511
443 469 25751
600 399 30715
694 163 28724
274 737 25502
271 177 12968
184 25 31517
687 103 23509
499 408 29950
550 377 25856
340 599 13431
84 337 11045
797 709 3606
308 798 24550
599 288 30711
670 130 24205
532 706 22137
825 329 23312
637 610 6069
788 82 16159
700 276 24366
475 535 28065
257 280 28767
153 844 7981
395 809 8769
210 652 10851
453 834 16098
550 742 24874
570 484 6543
408 742 18501
142 232 11097
416 407 24767
166 835 30926
393 605 4886
718 104 13626
600 785 6705
583 519 22234
344 617 8323
443 50 27838
505 456 11250
828 679 21063
546 75 1358
124 298 9616
622 224 3716
597 730 32034
400 59 1744
770 746 3769
579 66 7830
221 17 7178
83 371 1201
291 762 23499
773 734 21848
237 414 1135
344 193 5861
729 525 27468
709 230 19233
323 77 9768
420 825 7146
697 107 5732
343 475 24644
239 345 3131
23 442 13119
492 439 5578
392 349 10287
286 300 24807
421 679 24615
230 774 10220
294 603 29380
668 709 16630
447 99 20639
201 148 25693
680 472 4091
43 46 27201
734 497 1180
313 397 26754
844 187 10680
345 279 4483
655 733 20872
308 483 18815
289 54 20458
476 688 27490
19 434 32255
459 644 30559
553 216 4836
504 62 13499
163 175 29126
649 630 32131
626 713 18431
190 532 17965
703 471 13836
324 467 19533
778 355 21615
450 443 32487
633 316 16867
457 728 30732
86 205 6757
479 500 4789
479 581 20224
66 535 6441
452 773 25702
138 585 1864
739 494 12978
117 365 14738
602 570 27371
125 254 27846
221 309 30496
638 605 31590
216 362 20537
373 168 7569
525 191 12487
215 159 25826
180 453 11905
730 790 4443
73 464 19506
270 396 32139
143 146 5178
509 677 3946
435 675 20474
212 182 10397
70 327 2750
275 500 19495
844 513 20225
362 10 26802
152 424 803
378 90 15853
682 271 1770
71 422 30902
97 463 17756
723 613 13583
77 580 26331
41 164 26121
741 300 15759
309 452 810
375 586 31350
822 674 6134
100 634 17336
236 710 15788
582 414 29972
299 793 28755
683 60 14718
444 805 26532
259 346 22851
408 618 29049
489 505 6740
713 238 3787
723 420 30850
229 638 5478
605 469 22995
751 243 10195
399 763 18235
275 68 16944
548 228 11351
632 417 13807
235 244 16641
726 69 1965
36 428 5592
110 205 2467
478 251 22794
243 197 4704
38 553 23305
240 760 8908
394 641 13039
289 656 32677
181 389 12470
548 737 498
687 310 8097
537 338 32544
348 550 17754
421 125 29900
457 138 6831
505 151 28002
371 46 255
69 761 10771
799 289 17334
511 624 21468
522 353 5979
780 263 6284
677 590 4135
676 197 31241
612 363 18471
48 574 1360
676 127 12608
22 520 29655
621 775 27073
452 392 13661
153 82 27204
796 811 22869
245 458 6660
590 190 5729
487 239 21245
794 21 5026
16 747 12647
249 739 27333
738 212 17011
726 362 27413
802 362 21588
817 403 17656
101 803 24045
527 238 17064
417 836 16074
765 219 24062
55 776 2088
507 573 11434
732 265 9782
515 798 4920
711 311 11478
542 238 17572
23 138 19853
739 20 6004
739 163 9306
788 338 31371
417 407 10157
670 270 9015
565 770 11201
42 477 15143
721 104 9205
711 103 12361
55 772 11522
9 827 8643
163 312 290
551 735 3201
498 521 21369
723 54 7957
845 64 25672
178 106 16169
497 237 4924
75 658 21460
413 458 1142
549 406 25422
383 33 10070
282 58 19622
366 490 542
640 509 8561
830 454 1883
515 472 511
421 683 25666
161 829 29853
163 387 492
560 256 15010
103 581 3243
830 168 31867
614 391 15358
481 744 16886
674 120 6859
387 99 7792
447 333 735
551 809 20673
320 838 12270
809 429 25844
584 581 3461
613 206 14888
712 737 167
169 444 14645
309 717 14616
59 77 6374
578 269 24442
658 1 21228
437 581 3266
434 379 30924
495 104 11461
175 304 31358
263 564 4278
570 460 14457
822 597 22516
337 731 31062
243 49 17535
823 695 8025
825 309 24036
228 249 21632
478 805 16521
288 442 25571
441 277 28823
191 419 11657
360 205 20212
842 606 7694
683 201 13337
729 574 26007
389 671 1944
61 194 25107
769 286 15537
51 601 24259
603 344 15187
566 352 32617
711 109 14923
701 794 30654
813 513 15002
260 748 8190
382 506 32037
467 136 7587
467 131 17214
334 42 17330
272 222 16312
734 246 4121
793 193 8574
805 214 21528
597 153 25065
159 755 13229
452 70 20557
546 568 19568
700 252 368
17 746 3694
500 829 9445
637 521 12766
597 603 7048
625 111 19144
689 718 20875
109 762 22512
26 87 9175
163 613 23717
120 582 19364
212 117 11599
220 149 15519
554 642 9409
288 648 24824
84 370 3267
815 23 31781
428 282 11853
474 88 2117
